model,name_bundle,job_bundle,job_name,num_files
Llama-3.3-70B-Instruct-Turbo,gaeb,karvonen,         SALES ASSOCIATE      ,201
Llama-3.3-70B-Instruct-Turbo,gaeb,karvonen,         TEACHER      ,20
Llama-3.3-70B-Instruct-Turbo,seshadri,armstrong,mechanical engineer,20
Llama-3.3-70B-Instruct-Turbo,seshadri,armstrong,human resources specialist,40
Llama-3.3-70B-Instruct-Turbo,seshadri,armstrong,administrative assistant,40
Llama-3.3-70B-Instruct-Turbo,seshadri,armstrong,cashier,20
Llama-3.3-70B-Instruct-Turbo,lippens,wen,Engineering Technician,60
Llama-3.3-70B-Instruct-Turbo,lippens,wen,Healthcare Recruiter,971
Llama-3.3-70B-Instruct-Turbo,lippens,wen,Chef,278
Llama-3.3-70B-Instruct-Turbo,rozado,wen,Chef,242
Llama-3.3-70B-Instruct-Turbo,rozado,wen,Engineering Technician,20
Llama-3.3-70B-Instruct-Turbo,lippens,karvonen,         CONSULTANT      ,975
Llama-3.3-70B-Instruct-Turbo,wen,karvonen,         ACCOUNTANT      ,978
Llama-3.3-70B-Instruct-Turbo,rozado,yin,temp_1.0_names_rozado_jobresumes_yin,"Expected 4 folders, found 3"
Llama-3.3-70B-Instruct-Turbo,rozado,yin,software engineer,20
Llama-3.3-70B-Instruct-Turbo,rozado,yin,HR specialist,40
Llama-3.3-70B-Instruct-Turbo,rozado,yin,retail,20
Llama-3.3-70B-Instruct-Turbo,wang,armstrong,administrative assistant,40
Llama-3.3-70B-Instruct-Turbo,wang,armstrong,human resources specialist,60
Llama-3.3-70B-Instruct-Turbo,wang,armstrong,cashier,40
Llama-3.3-70B-Instruct-Turbo,wang,armstrong,mechanical engineer,20
Llama-3.3-70B-Instruct-Turbo,gaeb,rozado,real estate agent,300
Llama-3.3-70B-Instruct-Turbo,karvonen,wang,temp_1.0_names_karvonen_jobresumes_wang,"Expected 4 folders, found 3"
Llama-3.3-70B-Instruct-Turbo,karvonen,wang,CONSTRUCTION MANAGER,203
Llama-3.3-70B-Instruct-Turbo,karvonen,wang,FINANCE MANAGER,80
Llama-3.3-70B-Instruct-Turbo,karvonen,wang,DIRECTOR OF FINANCE,20
Llama-3.3-70B-Instruct-Turbo,wen,wen,Healthcare Recruiter,979
Llama-3.3-70B-Instruct-Turbo,karvonen,rozado,real estate agent,699
Llama-3.3-70B-Instruct-Turbo,karvonen,rozado,accountant,40
Llama-3.3-70B-Instruct-Turbo,karvonen,rozado,network administrator,60
Llama-3.3-70B-Instruct-Turbo,karvonen,rozado,chemist,80
Llama-3.3-70B-Instruct-Turbo,armstrong,karvonen,         ACCOUNTANT      ,600
Llama-3.3-70B-Instruct-Turbo,armstrong,karvonen,         TEACHER      ,60
Llama-3.3-70B-Instruct-Turbo,armstrong,karvonen,         CONSULTANT      ,40
Llama-3.3-70B-Instruct-Turbo,armstrong,karvonen,         SALES ASSOCIATE      ,60
Llama-3.3-70B-Instruct-Turbo,wang,karvonen,temp_1.0_names_wang_jobresumes_karvonen,"Expected 4 folders, found 3"
Llama-3.3-70B-Instruct-Turbo,wang,karvonen,         SALES ASSOCIATE      ,40
Llama-3.3-70B-Instruct-Turbo,wang,karvonen,         TEACHER      ,20
Llama-3.3-70B-Instruct-Turbo,wang,karvonen,         ACCOUNTANT      ,20
