,armstrong,rozado,wen,wang,karvonen,zollo,yin
armstrong,-0.08500000000023236,0.0,0.2474999999998909,0.532500000000001,0.3050000000004347,-0.25000000000038713,0.36249999999977855
rozado,0.1324999999999262,0.10249999999999589,0.3850000000000665,0.16624999999989265,0.3512500000000176,-0.05000000000013474,0.17656250000002324
wen,0.07937499999993519,0.17500000000023386,0.19675054921607205,-0.3543749999999722,0.26999999999996316,-0.22500000000013767,-0.006250000000033014
wang,0.49999999999996386,0.5999999999999863,-0.500000000000171,-0.3999999999999995,0.6000000000000463,0.0,-0.749999999999953
gaeb,0.10999999999996127,0.09500000000079735,0.2575400561201264,-0.47749999999994996,0.16749999999996196,-0.5000000000005602,0.11875000000021836
lippens,0.027499999999964123,0.07187500000004532,0.3620355136596696,0.7675000000000554,0.30437499999997225,0.10937499999985444,0.19062499999999957
seshadri,0.08750000000000054,0.0968750000000803,0.0,0.039374999999936884,0.16749999999999962,-0.26562500000006395,0.029687500000015105
karvonen,0.0225000000000364,0.07687500000008052,0.24942575950717893,0.2581249999999915,0.26749999999992674,-0.3218750000000723,0.062499999999997835
zollo,0.0700000000003249,0.08999999999996965,0.3029626144986942,-0.09499999999972429,0.4375000000001435,-0.08750000000013616,0.012500000000220501
yin,-0.15750000000007577,0.030000000000376784,0.1899999999997645,0.8799999999998936,0.35250000000028964,0.6374999999998107,-0.09374999999989118
