,armstrong,rozado,wen,wang,karvonen,zollo,yin
armstrong,0.11000000000015397,0.0,0.2275000000006363,0.16500000000010726,0.14750000000060368,0.5499999999995879,1.3312499999998724
rozado,0.2418750000001377,0.15812500000010002,0.24250000000010868,-0.12874999999994455,0.12562500000002738,1.1718750000000124,1.3703125000000174
wen,0.1774999999999404,0.22750000000003637,0.4168750000000452,0.3081249999999907,0.070624999999981,0.5499999999999281,0.8234374999999037
wang,0.9999999999999635,0.400000000000043,1.6000000000000156,-5.8000000000000504,0.7000000000000771,-2.499999999999983,-0.7499999999999575
gaeb,0.21250000000053926,0.2572258877595641,0.5425000000001802,0.9074999999997182,0.23750000000057328,2.1249999999997358,1.706250000000113
lippens,0.19375000000002127,0.18812499999995946,0.4881249999998943,0.23375000000001797,0.06562499999987709,0.8406249999999513,0.9812500000000552
seshadri,0.09812500000006359,0.06624999999999688,0.25062500000002685,0.3725000000000277,0.1881249999999074,1.2562499999999397,1.2186274484888693
karvonen,0.23750000000000215,0.22937500000004551,0.30749999999994465,0.5156249999999073,0.4368749999998083,0.5718749999998968,0.8140625000000307
zollo,-0.005000000000231241,0.029999999999693123,0.6324999999999257,1.1225000000002134,-0.007499999999489318,0.2499999999997932,1.4312499999999444
yin,0.26999999999997354,0.10999999999959952,0.06000000000016692,0.5475000000000729,0.1099999999996244,0.23749999999942745,0.11874999999999755
