,armstrong,rozado,wen,wang,karvonen,zollo,yin
armstrong,0.6168749999999932,0.05749999999999034,1.1256249999999994,0.29749999999999943,1.131875000000008,0.046875,0.3218750000000057
rozado,0.3474999999999966,-0.049374999999997726,0.5487499999999983,-0.23937499999999545,0.9124999999999943,0.040625000000005684,0.19218750000000284
wen,0.480000000000004,0.308125000000004,0.35999999999999943,1.0712500000000063,0.9350000000000023,0.078125,0.40312499999998863
wang,-0.4000000000000057,0.20000000000000284,-2.0,0.4000000000000057,1.7999999999999972,-5.5,5.0
gaeb,0.5381249999999937,0.1643749999999926,0.6418749999999989,-0.08062499999999773,1.0062499999999943,0.04999999999999716,0.09843750000000284
lippens,0.4556249999999977,0.3206249999999926,0.7443749999999909,0.8865013289556032,0.870625000000004,0.4125000000000085,1.0984374999999886
seshadri,0.3306249999999977,0.35250000000000625,0.5193750000000108,0.2524999999999977,0.31187500000000057,0.265625,0.40312500000000284
karvonen,0.4568749999999966,0.2324999999999875,0.47187499999999716,0.7743750000000063,0.4781249999999915,0.078125,0.8781249999999972
zollo,0.4906249999999943,0.1735541744840532,0.7099999999999937,0.8037499999999937,0.7787500000000023,0.056249999999991473,0.2750000000000057
yin,0.3754580988117624,0.09499999999999886,0.4281249999999943,-0.373696808510644,0.7081249999999955,-0.11249999999999716,-0.7125000000000057
