,armstrong,rozado,wen,wang,karvonen,zollo,yin
armstrong,0.792499999999371,0.12249999999921275,1.5099999999999676,1.6424999999998362,0.0,0.03749999999962026,0.5562499999999952
rozado,0.3475000000000914,-0.04937500000016577,0.5487499999999167,-0.23937500000009887,0.912500000000033,0.04062500000008008,0.0
wen,0.48000000000002113,0.30812500000012216,0.36000000000000415,1.0712500000000629,0.9350000000001912,0.0,0.40312500000001145
wang,1.900000000000065,1.200000000000235,2.1000000000000814,7.700000000000007,1.8000000000001153,-5.500000000000014,5.000000000000039
gaeb,0.35562499999999014,0.061874999999967074,0.4868749999998743,0.5968750000000275,0.0,0.0,0.0
lippens,0.4556250000000637,0.0,0.0,0.0,0.0,0.4124999999999577,1.0984374999999116
seshadri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
karvonen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zollo,0.0,0.0,0.5674999999994755,0.7875000000001908,0.0,0.0,0.16513802465276456
yin,0.0,0.0,0.05000000000013295,0.0,0.0,0.0,0.0
