Author,Names,Jobs,Num_Trials,Model,Temperature,Metric,Sensitive_Attribute_Vector,Result_Vector,Std_Error_Vector
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,regression_coefficients,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.7149999999995235, 0.7149999999995235, 0.7149999999995235, 0.7149999999995235]","[0.2500407435278101, 0.2500407435278101, 0.2500407435278101, 0.2500407435278101]"
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,wasserstein_distance,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.39687499999999976, 0.2287499999999999, 0.15250000000000008, 0.36999999999999994]",
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,score_difference,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.002118252894554029, 0.0001376360834813295, 0.00023498843521202462, -0.0008325304561797031]",
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0525812619502868, 1.0371747211895912, 1.0241635687732342, 0.929368029739777]",
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.60,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0525812619502868, 1.0371747211895912, 1.0241635687732342, 0.929368029739777]",
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0406137184115523, 1.0104895104895106, 1.0052447552447552, 0.9370629370629372]",
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.80,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0325018896447469, 1.0180995475113122, 1.0301659125188538, 1.0075414781297134]",
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.9993734335839598, 1.0025094102885823, 1.0037641154328734, 0.9974905897114179]",
armstrong,armstrong,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.95,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.9993734335839598, 1.0025094102885823, 1.0037641154328734, 0.9974905897114179]",
armstrong,gaeb,armstrong,10,gpt-4o-2024-11-20,1.0,regression_coefficients,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.4599999999998713, 0.4599999999998713, 0.4599999999998713, 0.4599999999998713]","[0.2538172079621125, 0.2538172079621125, 0.2538172079621125, 0.2538172079621125]"
armstrong,gaeb,armstrong,10,gpt-4o-2024-11-20,1.0,wasserstein_distance,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.2687499999999998, 0.0937500000000002, 0.2462500000000002, 0.11249999999999998]",
armstrong,gaeb,armstrong,10,gpt-4o-2024-11-20,1.0,score_difference,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.001437930455232661, 0.00018478078279859922, 0.000634973962707841, -0.00016798252981689576]",
armstrong,gaeb,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0193050193050195, 1.0276134122287968, 1.0729783037475344, 1.0256410256410255]",
armstrong,gaeb,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.60,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0193050193050195, 1.0276134122287968, 1.0729783037475344, 1.0256410256410255]",
armstrong,gaeb,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0025996533795496, 1.0052724077328645, 1.054481546572935, 1.001757469244288]",
armstrong,gaeb,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.80,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.034612490594432, 1.0119225037257824, 1.014903129657228, 1.0029806259314458]",
armstrong,gaeb,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0006273525721456, 1.0012547051442913, 1.0, 1.0]",
