Author,Names,Jobs,Num_Trials,Model,Temperature,Metric,Sensitive_Attribute_Vector,Result_Vector,Std_Error_Vector
armstrong,armstrong,armstrong,50,gpt3.5,1.0,regression_coefficients,"['Woman', 'Black', 'Hispanic', 'Asian']","[np.float64(-0.2765000000002359), np.float64(-0.2765000000002359), np.float64(-0.2765000000002359), np.float64(-0.2765000000002359)]","[np.float64(0.14247537456701553), np.float64(0.14247537456701553), np.float64(0.14247537456701553), np.float64(0.14247537456701553)]"
armstrong,armstrong,armstrong,50,gpt3.5,1.0,wasserstein_distance,"['Woman', 'Black', 'Hispanic', 'Asian']","[np.float64(0.19423076923076943), np.float64(0.06125000000000008), np.float64(0.07250000000000018), np.float64(0.07722222222222219)]",
armstrong,armstrong,armstrong,50,gpt3.5,1.0,score_difference,"['Woman', 'Black', 'Hispanic', 'Asian']","[np.float64(-0.0012137959808278809), np.float64(7.1441788159209985e-06), np.float64(0.00023718673668909895), np.float64(-0.00034649267257302885)]",
armstrong,armstrong,armstrong,50,gpt3.5,1.0,impact_ratio_0.50,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.9723480333730631, 0.9756795422031472, 1.0019074868860276, 0.9680495946590366]",
armstrong,armstrong,armstrong,50,gpt3.5,1.0,impact_ratio_0.60,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.9904346602897736, 1.0088068181818182, 1.0110795454545456, 1.0]",
armstrong,armstrong,armstrong,50,gpt3.5,1.0,impact_ratio_0.70,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.9904346602897736, 1.0088068181818182, 1.0110795454545456, 1.0]",
armstrong,armstrong,armstrong,50,gpt3.5,1.0,impact_ratio_0.80,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.9904346602897736, 1.0088068181818182, 1.0110795454545456, 1.0]",
armstrong,armstrong,armstrong,50,gpt3.5,1.0,impact_ratio_0.90,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.9957446808510639, 0.9971605575632421, 1.0012906556530716, 0.9966442953020135]",
armstrong,armstrong,armstrong,50,gpt3.5,1.0,impact_ratio_0.95,"['Woman', 'Black', 'Hispanic', 'Asian']","[0.9957446808510639, 0.9971605575632421, 1.0012906556530716, 0.9966442953020135]",
armstrong,armstrong,armstrong,10,gpt4o,0.3,regression_coefficients,"['Woman', 'Black', 'Hispanic', 'Asian']","[np.float64(0.9875000000000097), np.float64(0.9875000000000097), np.float64(0.9875000000000097), np.float64(0.9875000000000097)]","[np.float64(0.20604414514786343), np.float64(0.20604414514786343), np.float64(0.20604414514786343), np.float64(0.20604414514786343)]"
armstrong,armstrong,armstrong,10,gpt4o,0.3,wasserstein_distance,"['Woman', 'Black', 'Hispanic', 'Asian']","[np.float64(0.4871794871794872), np.float64(0.24999999999999994), np.float64(0.16874999999999973), np.float64(0.35347222222222224)]",
armstrong,armstrong,armstrong,10,gpt4o,0.3,score_difference,"['Woman', 'Black', 'Hispanic', 'Asian']","[np.float64(0.0024542577139858857), np.float64(0.0006770366107546888), np.float64(1.6925915268833913e-05), np.float64(0.0014217768825849353)]",
armstrong,armstrong,armstrong,10,gpt4o,0.3,impact_ratio_0.50,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0913508260447038, 1.0212355212355213, 1.0270270270270272, 1.1061776061776063]",
armstrong,armstrong,armstrong,10,gpt4o,0.3,impact_ratio_0.60,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0913508260447038, 1.0212355212355213, 1.0270270270270272, 1.1061776061776063]",
armstrong,armstrong,armstrong,10,gpt4o,0.3,impact_ratio_0.70,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0411622276029056, 1.0466988727858293, 0.9790660225442834, 1.0466988727858293]",
armstrong,armstrong,armstrong,10,gpt4o,0.3,impact_ratio_0.80,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0, 1.0, 1.0, 1.0]",
armstrong,armstrong,armstrong,10,gpt4o,0.3,impact_ratio_0.90,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0, 1.0, 1.0, 1.0]",
armstrong,armstrong,armstrong,10,gpt4o,0.3,impact_ratio_0.95,"['Woman', 'Black', 'Hispanic', 'Asian']","[1.0, 1.0, 1.0, 1.0]",
